"","wgEncodeBroadHistoneNhlfCtcfStdPk.broadPeak","wgEncodeBroadHistoneNhlfEzh239875Pk.broadPeak","wgEncodeBroadHistoneNhlfH2azPk.broadPeak","wgEncodeBroadHistoneNhlfH3k09me3Pk.broadPeak","wgEncodeBroadHistoneNhlfH3k27acStdPk.broadPeak","wgEncodeBroadHistoneNhlfH3k27me3StdPk.broadPeak","wgEncodeBroadHistoneNhlfH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneNhlfH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneNhlfH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneNhlfH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneNhlfH3k79me2Pk.broadPeak","wgEncodeBroadHistoneNhlfH3k9acStdPk.broadPeak","wgEncodeBroadHistoneNhlfH4k20me1StdPk.broadPeak","wgEncodeUwHistoneNhlfH3k04me3StdPkRep1.narrowPeak","wgEncodeUwTfbsNhlfCtcfStdHotspotsRep1.broadPeak","wgEncodeUwTfbsNhlfCtcfStdPkRep1.narrowPeak"
"wgEncodeBroadHistoneNhlfCtcfStdPk.broadPeak",1,0.104221028689729,0.0822127763079364,0.0204093197056885,0.132038134270115,0.0652510411533128,0.094315049940517,0.124535300016262,0.136369127474584,0.118169102662289,0.0970678650268917,0.124783053170021,0.0668099221682518,0.0237574054615596,0.165215837774768,0.0515954025283609
"wgEncodeBroadHistoneNhlfEzh239875Pk.broadPeak",0.104221028689729,1,0.172905907860861,0.0830530118319565,0.0948815008652575,0.45272085087564,0.134616798320733,0.168859304609711,0.120435058790258,0.103359275506031,0.0989636404691953,0.113351051912719,0.248738592311972,0.00779402250611908,0.0330379959152585,0.00679243628335794
"wgEncodeBroadHistoneNhlfH2azPk.broadPeak",0.0822127763079364,0.172905907860861,1,0.0992824522030662,0.139113247871109,0.117415556784703,0.114412984653606,0.205689810907086,0.183327841709832,0.14373150782983,0.0896846214745316,0.115772109206299,0.103525693566188,0.0156912208473413,0.0375785712013822,0.00818284011531402
"wgEncodeBroadHistoneNhlfH3k09me3Pk.broadPeak",0.0204093197056885,0.0830530118319565,0.0992824522030662,1,0.0302788744368545,0.0668938982320218,0.0606821744374735,0.0563846186653233,0.0333165214183845,0.0331480832376555,0.0409408925487764,0.0333803702825771,0.116035652423071,0.001313015631357,0.0093435465741927,0.00152924819697272
"wgEncodeBroadHistoneNhlfH3k27acStdPk.broadPeak",0.132038134270115,0.0948815008652575,0.139113247871109,0.0302788744368545,1,0.0288293080966167,0.18198222445027,0.335044098506119,0.404802063006187,0.32300521165858,0.248592871433756,0.296392655704629,0.092754869217976,0.0443937718861397,0.0551722532445665,0.0138022606594532
"wgEncodeBroadHistoneNhlfH3k27me3StdPk.broadPeak",0.0652510411533128,0.45272085087564,0.117415556784703,0.0668938982320218,0.0288293080966167,1,0.0561508206874381,0.0689196845514118,0.049789310993178,0.0451557300493799,0.033262377995354,0.0565109801316607,0.222532744343672,0.0039459569613784,0.0243096239223779,0.00490935399114307
"wgEncodeBroadHistoneNhlfH3k36me3StdPk.broadPeak",0.094315049940517,0.134616798320733,0.114412984653606,0.0606821744374735,0.18198222445027,0.0561508206874381,1,0.256472829809905,0.167604809349382,0.134058342655365,0.412157324005036,0.152021512308142,0.25913081355499,0.00935911105771024,0.0256360432418676,0.00520046063776059
"wgEncodeBroadHistoneNhlfH3k4me1StdPk.broadPeak",0.124535300016262,0.168859304609711,0.205689810907086,0.0563846186653233,0.335044098506119,0.0689196845514118,0.256472829809905,1,0.350913178181899,0.229041928967987,0.295833887518886,0.206287697299182,0.153576917207668,0.0180262783408115,0.0430178294499777,0.00920160721757276
"wgEncodeBroadHistoneNhlfH3k4me2StdPk.broadPeak",0.136369127474584,0.120435058790258,0.183327841709832,0.0333165214183845,0.404802063006187,0.049789310993178,0.167604809349382,0.350913178181899,1,0.36874109520825,0.233658459963692,0.275229105165402,0.0993820263896709,0.0485888213010822,0.0635122197842067,0.0156526094509345
"wgEncodeBroadHistoneNhlfH3k4me3StdPk.broadPeak",0.118169102662289,0.103359275506031,0.14373150782983,0.0331480832376555,0.32300521165858,0.0451557300493799,0.134058342655365,0.229041928967987,0.36874109520825,1,0.187368660036096,0.285988706796391,0.0818485633576421,0.0587869192221432,0.0586595143538193,0.0151236727647347
"wgEncodeBroadHistoneNhlfH3k79me2Pk.broadPeak",0.0970678650268917,0.0989636404691953,0.0896846214745316,0.0409408925487764,0.248592871433756,0.033262377995354,0.412157324005036,0.295833887518886,0.233658459963692,0.187368660036096,1,0.182985807372703,0.24243683049211,0.0179808810025511,0.0282956413986767,0.00611692894810577
"wgEncodeBroadHistoneNhlfH3k9acStdPk.broadPeak",0.124783053170021,0.113351051912719,0.115772109206299,0.0333803702825771,0.296392655704629,0.0565109801316607,0.152021512308142,0.206287697299182,0.275229105165402,0.285988706796391,0.182985807372703,1,0.0948513282451266,0.0471737456584373,0.0539365989994776,0.0138789917694755
"wgEncodeBroadHistoneNhlfH4k20me1StdPk.broadPeak",0.0668099221682518,0.248738592311972,0.103525693566188,0.116035652423071,0.092754869217976,0.222532744343672,0.25913081355499,0.153576917207668,0.0993820263896709,0.0818485633576421,0.24243683049211,0.0948513282451266,1,0.00594655906039251,0.0214655620775089,0.00418246264063081
"wgEncodeUwHistoneNhlfH3k04me3StdPkRep1.narrowPeak",0.0237574054615596,0.00779402250611908,0.0156912208473413,0.001313015631357,0.0443937718861397,0.0039459569613784,0.00935911105771024,0.0180262783408115,0.0485888213010822,0.0587869192221432,0.0179808810025511,0.0471737456584373,0.00594655906039251,1,0.0368052681614766,0.0255690124172599
"wgEncodeUwTfbsNhlfCtcfStdHotspotsRep1.broadPeak",0.165215837774768,0.0330379959152585,0.0375785712013822,0.0093435465741927,0.0551722532445665,0.0243096239223779,0.0256360432418676,0.0430178294499777,0.0635122197842067,0.0586595143538193,0.0282956413986767,0.0539365989994776,0.0214655620775089,0.0368052681614766,1,0.181358168868964
"wgEncodeUwTfbsNhlfCtcfStdPkRep1.narrowPeak",0.0515954025283609,0.00679243628335794,0.00818284011531402,0.00152924819697272,0.0138022606594532,0.00490935399114307,0.00520046063776059,0.00920160721757276,0.0156526094509345,0.0151236727647347,0.00611692894810577,0.0138789917694755,0.00418246264063081,0.0255690124172599,0.181358168868964,1
